FOLIO,P3_5,Ingreso mensual por trabajo,Registra ingresos y gastos,Anotaciones de gastos,Dinero separado para pagos y gastos diarios,Ingreso suficiente para cubrir gastos desde julio 2020,Préstamos a conocidos,Uso de ahorros,Reducción de gastos,Venta o empeño de bienes,Adelanto salarial/trabajo extra,Uso de tarjeta de crédito o préstamo bancario,Cursos sobre ahorro y presupuestos,Conocimiento básico de inflación,Enfoque en el presente,Gasto del dinero,Revisión detallada del dinero,Optimismo económico,Dinero suficiente para gastos,Tranquilidad financiera,Cuenta de ahorro,Ahorro en cuenta,Seguro,SEXO,EDAD,GRUPO_EDAD,Grupo_Ingreso
2468,Trabajó por lo menos una hora,80.0,No,Sí,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,25,18-30,0-1k
2469,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,450.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,42,31-50,0-1k
2470,Trabajó por lo menos una hora,200.0,No,No,Sí,No,Sí,No,Sí,No,Sí,No,No,No sabe,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,28,18-30,0-1k
2471,Trabajó por lo menos una hora,1400.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,50,51-70,+1k
2472,Está incapacitada(o) permanentemente para trabajar,,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,55,51-70,
2473,Trabajó por lo menos una hora,100.0,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Verdadera,No sabe,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,59,51-70,0-1k
2474,Trabajó por lo menos una hora,1000.0,No,Sí,Sí,Sí,,,,,,,No,Falsa,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,22,18-30,+1k
2475,Trabajó por lo menos una hora,250.0,No,No,No,Sí,,,,,,,No,No sabe,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No sabe,De acuerdo,De acuerdo,No,,No,Mujer,49,31-50,0-1k
2476,Trabajó por lo menos una hora,1000.0,Sí,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,27,18-30,+1k
2477,Trabajó por lo menos una hora,1050.0,No,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,22,18-30,+1k
2478,Trabajó por lo menos una hora,600.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,30,31-50,0-1k
2479,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,Sí,No,Sí,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,66,51-70,
2480,Trabajó por lo menos una hora,1500.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,31,31-50,+1k
2481,Es estudiante,,No,No,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,18,18-30,
2482,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí,No,Sí,Mujer,49,31-50,
2483,Trabajó por lo menos una hora,400.0,No,No,Sí,No,No,No,Sí,No,No,No,No,Verdadera,No sabe,Ni de acuerdo ni en desacuerdo,No responde,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,46,31-50,0-1k
2484,Trabajó por lo menos una hora,1000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,18,18-30,+1k
2485,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,No,No,Mujer,30,31-50,
2486,Trabajó por lo menos una hora,35000.0,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,62,51-70,+30k
2487,Trabajó por lo menos una hora,600.0,No,No,Sí,No,No,No,Sí,No,No,No,No,No sabe,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,39,31-50,0-1k
2488,Trabajó por lo menos una hora,400.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,34,31-50,0-1k
2489,Trabajó por lo menos una hora,500.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,22,18-30,0-1k
2490,Trabajó por lo menos una hora,1200.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,No sabe,No sabe,De acuerdo,De acuerdo,No,,No,Mujer,66,51-70,+1k
2491,Trabajó por lo menos una hora,800.0,No,No,No,No,Sí,No,Sí,Sí,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,30,31-50,0-1k
2492,Trabajó por lo menos una hora,1000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Hombre,77,71+,+1k
2493,Es jubilada(o) o pensionada(o),500.0,No,No,No,No,Sí,No,Sí,Sí,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,65,51-70,0-1k
2494,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,29,18-30,
2495,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,No,,No,Mujer,62,51-70,
2496,Buscó trabajo,500.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,48,31-50,0-1k
2497,Trabajó por lo menos una hora,4800.0,No,No,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Mujer,36,31-50,+1k
2498,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,Sí,No,No,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,33,31-50,
2499,Trabajó por lo menos una hora,650.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,84,71+,0-1k
2500,Trabajó por lo menos una hora,1800.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,26,18-30,+1k
2501,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,No,,No,Mujer,37,31-50,
2502,Trabajó por lo menos una hora,3000.0,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,50,51-70,+1k
2503,Buscó trabajo,600.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,No,,No,Hombre,36,31-50,0-1k
2504,Trabajó por lo menos una hora,800.0,No,No,No,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Mujer,43,31-50,0-1k
2505,Trabajó por lo menos una hora,0.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,48,31-50,No recibe ingresos
2506,Trabajó por lo menos una hora,400.0,No,No,No,No,No,No,No,No,Sí,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,48,31-50,0-1k
2507,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,58,51-70,
2508,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,Sí,,,,,,,No,No sabe,Ni de acuerdo ni en desacuerdo,En desacuerdo,No responde,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,67,51-70,
2509,Trabajó por lo menos una hora,1500.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,57,51-70,+1k
2510,Trabajó por lo menos una hora,1300.0,No,Sí,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,49,31-50,+1k
2511,Trabajó por lo menos una hora,1200.0,Sí,No,No,No,Sí,Sí,Sí,No,Sí,No,No,Verdadera,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,30,31-50,+1k
2512,Trabajó por lo menos una hora,400.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,40,31-50,0-1k
2513,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,1000.0,No,No,No,No,Sí,No,Sí,No,No,No,No,No sabe,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,42,31-50,+1k
2514,Trabajó por lo menos una hora,600.0,Sí,Sí,Sí,Sí,,,,,,,No,Falsa,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Mujer,19,18-30,0-1k
2515,Trabajó por lo menos una hora,900.0,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,39,31-50,0-1k
2516,Trabajó por lo menos una hora,300.0,No,No,No,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,58,51-70,0-1k
2517,Trabajó por lo menos una hora,5000.0,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,22,18-30,+5k
2518,Trabajó por lo menos una hora,2000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,81,71+,+1k
2519,Trabajó por lo menos una hora,900.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,54,51-70,0-1k
2520,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,31,31-50,
2521,Buscó trabajo,500.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí,Sí,No,Mujer,41,31-50,0-1k
2522,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Mujer,35,31-50,
2523,Trabajó por lo menos una hora,400.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,38,31-50,0-1k
2523,Trabajó por lo menos una hora,700.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,30,31-50,0-1k
2523,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No sabe,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,27,18-30,
2524,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Mujer,28,18-30,
2525,Trabajó por lo menos una hora,700.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,No sabe,No sabe,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,54,51-70,0-1k
2526,Trabajó por lo menos una hora,600.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,No,,No,Hombre,38,31-50,0-1k
2527,Trabajó por lo menos una hora,720.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Hombre,21,18-30,0-1k
2528,Trabajó por lo menos una hora,3000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,No,,No,Hombre,29,18-30,+1k
2529,Trabajó por lo menos una hora,8000.0,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,49,31-50,+5k
2530,Trabajó por lo menos una hora,1500.0,No,No,No,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,52,51-70,+1k
2531,Trabajó por lo menos una hora,,No,No,No,No,Sí,No,Sí,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,57,51-70,
2532,Trabajó por lo menos una hora,2000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,No,,No,Hombre,21,18-30,+1k
2533,Trabajó por lo menos una hora,500.0,No,No,Sí,No,No,Sí,No,No,No,No,No,No sabe,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,65,51-70,0-1k
2534,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,23,18-30,
2535,Trabajó por lo menos una hora,300.0,No,No,No,No,No,No,Sí,No,No,Sí,No,No sabe,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,52,51-70,0-1k
2536,Trabajó por lo menos una hora,450.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,44,31-50,0-1k
2537,Trabajó por lo menos una hora,700.0,No,No,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,38,31-50,0-1k
2538,Trabajó por lo menos una hora,300.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,38,31-50,0-1k
2539,Trabajó por lo menos una hora,500.0,No,No,No,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,54,51-70,0-1k
2540,Trabajó por lo menos una hora,,No,No,Sí,Sí,,,,,,,No,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,35,31-50,
2541,Trabajó por lo menos una hora,,No,No,Sí,Sí,,,,,,,No,Verdadera,No sabe,En desacuerdo,En desacuerdo,No sabe,No sabe,En desacuerdo,No,,No,Mujer,36,31-50,
2542,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,42,31-50,
2543,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,No,Sí,Sí,No,No,No,Verdadera,No sabe,De acuerdo,No sabe,De acuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,38,31-50,
2544,Trabajó por lo menos una hora,360.0,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,36,31-50,0-1k
2545,No trabajó,,No,No,No,No,No,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,77,71+,
2546,Trabajó por lo menos una hora,300.0,No,No,No,No,Sí,No,No,No,No,No,No,Falsa,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,29,18-30,0-1k
2547,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,Sí,Sí,No,No,No,No,No sabe,De acuerdo,Ni de acuerdo ni en desacuerdo,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,38,31-50,
2548,Trabajó por lo menos una hora,0.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,39,31-50,No recibe ingresos
2549,Trabajó por lo menos una hora,0.0,No,No,No,Sí,,,,,,,No,No sabe,En desacuerdo,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,36,31-50,No recibe ingresos
2550,Trabajó por lo menos una hora,,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,No sabe,De acuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,35,31-50,
2551,Trabajó por lo menos una hora,0.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,34,31-50,No recibe ingresos
2552,Trabajó por lo menos una hora,,No,No,No,No,No,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,29,18-30,
2553,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,75,71+,
2554,Trabajó por lo menos una hora,0.0,No,No,No,No,Sí,No,Sí,No,No,No,No,No sabe,De acuerdo,En desacuerdo,En desacuerdo,No responde,En desacuerdo,En desacuerdo,No,,No,Hombre,40,31-50,No recibe ingresos
2555,Trabajó por lo menos una hora,500.0,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,Falsa,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,40,31-50,0-1k
2556,Trabajó por lo menos una hora,300.0,No,No,No,Sí,,,,,,,No,Verdadera,No responde,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,30,31-50,0-1k
2557,Trabajó por lo menos una hora,1250.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,39,31-50,+1k
2558,Trabajó por lo menos una hora,1000.0,No,No,Sí,No,Sí,Sí,No,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,Sí,Mujer,43,31-50,+1k
2559,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,Falsa,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,45,31-50,
2560,Es estudiante,,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,20,18-30,
2561,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,19,18-30,
2562,Trabajó por lo menos una hora,550.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,18,18-30,0-1k
2563,Trabajó por lo menos una hora,150.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,69,51-70,0-1k
2564,No trabajó,,No,No,No,No,Sí,No,No,Sí,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,75,71+,
2565,Trabajó por lo menos una hora,1700.0,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,No,,No,Hombre,34,31-50,+1k
2566,Trabajó por lo menos una hora,2500.0,No,No,No,No,Sí,Sí,Sí,No,Sí,No,No,Verdadera,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,31,31-50,+1k
2567,Trabajó por lo menos una hora,750.0,No,No,No,No,No,No,Sí,No,No,Sí,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,42,31-50,0-1k
2567,Trabajó por lo menos una hora,300.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,27,18-30,0-1k
